mab_uid	mab_name	Protein_RefID	virus_id	virus_name	Family	Organism	Species	Epitope	pubmed_id	Target Protein	Target type	Target	Target name	Assay type	Assay	Quantitative measure	Unit	disease_id
45_anti-DENV-5A12	anti-DENV-5A12		11053	DENV1	Flavivirus	dengue virus type 4	DENV	aa 309320	23851440	"Genome polyprotein; Envelope protein E"	protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	71	_g/ml	12205
46_anti-DENV-5A12	anti-DENV-5A12		11060	DENV2				aa 309320	23851440		protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	58	_g/ml	"12205; 12206"
47_anti-DENV-5A12	anti-DENV-5A12		11069	DENV3				aa 309320	23851440		protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	32	_g/ml	12206
48_anti-DENV-5A12	anti-DENV-5A12		11070	DENV4	Flavivirus	dengue virus type 4	DENV	aa 309320	23851440	"Genome polyprotein; Envelope protein E"	protein	UniProt: Q7TGC7 dengue virus type 4	"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	187	_g/ml	12206
49_anti-DENV-5C30	anti-DENV-5C30		11053	DENV1	Flavivirus	dengue virus type 4	DENV	aa 309320	23851440	"Genome polyprotein; Envelope protein E"	protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	67	_g/ml	12205
50_anti-DENV-5C30	anti-DENV-5C30		11060	DENV2				aa 309320	23851440		protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	106	_g/ml	12206
51_anti-DENV-5C30	anti-DENV-5C30		11069	DENV3				aa 309320	23851440		protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	200	_g/ml	12206
52_anti-DENV-5C30	anti-DENV-5C30		11070	DENV4	Flavivirus	dengue virus type 4	DENV	aa 309320	23851440	"Genome polyprotein; Envelope protein E"	protein	UniProt: Q7TGC7 dengue virus type 4	"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	200	_g/ml	"12206; 0050125"
53_anti-DENV-5E7	anti-DENV-5E7		11053	DENV1	Flavivirus	dengue virus type 4	DENV	aa 309320	23851440	"Genome polyprotein; Envelope protein E"	protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	21	_g/ml	12205
54_anti-DENV-5E7	anti-DENV-5E7		11060	DENV2				aa 309320	23851440		protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	24	_g/ml	"12205; 12206"
55_anti-DENV-5E7	anti-DENV-5E7		11069	DENV3				aa 309320	23851440		protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	23	_g/ml	12206
56_anti-DENV-5E7	anti-DENV-5E7		11070	DENV4	Flavivirus	dengue virus type 4	DENV	aa 309320	23851440	"Genome polyprotein; Envelope protein E"	protein	UniProt: Q7TGC7 dengue virus type 4	"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	27	_g/ml	"12206; 0050125"
57_anti-DENV-9B3	anti-DENV-9B3		11053	DENV1	Flavivirus	dengue virus type 4	DENV	aa 309320	23851440	"Genome polyprotein; Envelope protein E"	protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	28	_g/ml	12205
58_anti-DENV-9B3	anti-DENV-9B3		11060	DENV2				aa 309320	23851440		protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	20	_g/ml	12206
59_anti-DENV-9B3	anti-DENV-9B3		11069	DENV3				aa 309320	23851440		protein		"Genome polyprotein; Envelope protein E"	Neutralization	ELISPOT-MNT (IC50)	1.5	_g/ml	12206
